"city-name","month","city-month-url","city-month-file"
"abovyan","august-2025","https://pogoda.mail.ru/prognoz/abovyan/august-2025/","abovyan-august-2025.html"
"alaverdi","august-2025","https://pogoda.mail.ru/prognoz/alaverdi/august-2025/","alaverdi-august-2025.html"
"aparan","august-2025","https://pogoda.mail.ru/prognoz/aparan/august-2025/","aparan-august-2025.html"
"ararat","august-2025","https://pogoda.mail.ru/prognoz/ararat/august-2025/","ararat-august-2025.html"
"armawir","august-2025","https://pogoda.mail.ru/prognoz/armawir/august-2025/","armawir-august-2025.html"
"artashat","august-2025","https://pogoda.mail.ru/prognoz/artashat/august-2025/","artashat-august-2025.html"
"artik","august-2025","https://pogoda.mail.ru/prognoz/artik/august-2025/","artik-august-2025.html"
"astkhadzor","august-2025","https://pogoda.mail.ru/prognoz/astkhadzor/august-2025/","astkhadzor-august-2025.html"
"ashtarak","august-2025","https://pogoda.mail.ru/prognoz/ashtarak/august-2025/","ashtarak-august-2025.html"
"echmiadzin","august-2025","https://pogoda.mail.ru/prognoz/echmiadzin/august-2025/","echmiadzin-august-2025.html"
"vanadzor","august-2025","https://pogoda.mail.ru/prognoz/vanadzor/august-2025/","vanadzor-august-2025.html"
"gavar","august-2025","https://pogoda.mail.ru/prognoz/gavar/august-2025/","gavar-august-2025.html"
"goris","august-2025","https://pogoda.mail.ru/prognoz/goris/august-2025/","goris-august-2025.html"
"gyumri","august-2025","https://pogoda.mail.ru/prognoz/gyumri/august-2025/","gyumri-august-2025.html"
"djermuk","august-2025","https://pogoda.mail.ru/prognoz/djermuk/august-2025/","djermuk-august-2025.html"
"dilizhan","august-2025","https://pogoda.mail.ru/prognoz/dilizhan/august-2025/","dilizhan-august-2025.html"
"erevan","august-2025","https://pogoda.mail.ru/prognoz/erevan/august-2025/","erevan-august-2025.html"
"ehegnadzor","august-2025","https://pogoda.mail.ru/prognoz/ehegnadzor/august-2025/","ehegnadzor-august-2025.html"
"idjevan","august-2025","https://pogoda.mail.ru/prognoz/idjevan/august-2025/","idjevan-august-2025.html"
"kapan","august-2025","https://pogoda.mail.ru/prognoz/kapan/august-2025/","kapan-august-2025.html"
"martuni","august-2025","https://pogoda.mail.ru/prognoz/martuni/august-2025/","martuni-august-2025.html"
"megri","august-2025","https://pogoda.mail.ru/prognoz/megri/august-2025/","megri-august-2025.html"
"hrazdan","august-2025","https://pogoda.mail.ru/prognoz/hrazdan/august-2025/","hrazdan-august-2025.html"
"sevan","august-2025","https://pogoda.mail.ru/prognoz/sevan/august-2025/","sevan-august-2025.html"
"spitak","august-2025","https://pogoda.mail.ru/prognoz/spitak/august-2025/","spitak-august-2025.html"
"stepanovan","august-2025","https://pogoda.mail.ru/prognoz/stepanovan/august-2025/","stepanovan-august-2025.html"
"tashir","august-2025","https://pogoda.mail.ru/prognoz/tashir/august-2025/","tashir-august-2025.html"
